ts,block_type,n_blocks
2018/11/29 4:18:07 AM,blocks_dup,0
2018/11/29 4:20:11 AM,blocks_recv,0
2018/11/29 4:20:11 AM,blocks_sent,20
2018/11/29 4:20:11 AM,blocks_dup,0
2018/11/29 4:22:14 AM,blocks_recv,0
2018/11/29 4:22:14 AM,blocks_sent,20
2018/11/29 4:22:14 AM,blocks_dup,0
2018/11/29 4:24:17 AM,blocks_recv,0
2018/11/29 4:24:17 AM,blocks_sent,20
2018/11/29 4:24:17 AM,blocks_dup,0
2018/11/29 4:26:21 AM,blocks_recv,0
2018/11/29 4:26:21 AM,blocks_sent,20
2018/11/29 4:26:21 AM,blocks_dup,0
2018/11/29 4:28:25 AM,blocks_recv,0
2018/11/29 4:28:25 AM,blocks_sent,20
2018/11/29 4:28:25 AM,blocks_dup,0
2018/11/29 4:30:28 AM,blocks_recv,0
2018/11/29 4:30:28 AM,blocks_sent,20
2018/11/29 4:30:28 AM,blocks_dup,0
2018/11/29 4:32:31 AM,blocks_recv,0
2018/11/29 4:32:31 AM,blocks_sent,20
2018/11/29 4:32:31 AM,blocks_dup,0
2018/11/29 4:34:34 AM,blocks_recv,0
2018/11/29 4:34:34 AM,blocks_sent,21
2018/11/29 4:34:34 AM,blocks_dup,0
2018/11/29 4:36:38 AM,blocks_recv,0
2018/11/29 4:36:38 AM,blocks_sent,26
2018/11/29 4:36:38 AM,blocks_dup,0
2018/11/29 4:38:41 AM,blocks_recv,0
2018/11/29 4:38:41 AM,blocks_sent,26
2018/11/29 4:38:41 AM,blocks_dup,0
2018/11/29 4:40:46 AM,blocks_recv,0
2018/11/29 4:40:46 AM,blocks_sent,26
2018/11/29 4:40:46 AM,blocks_dup,0
2018/11/29 4:42:51 AM,blocks_recv,0
2018/11/29 4:42:51 AM,blocks_sent,26
2018/11/29 4:42:51 AM,blocks_dup,0
2018/11/29 4:44:53 AM,blocks_recv,0
2018/11/29 4:44:53 AM,blocks_sent,26
2018/11/29 4:44:53 AM,blocks_dup,0
2018/11/29 4:46:56 AM,blocks_recv,0
2018/11/29 4:46:56 AM,blocks_sent,26
2018/11/29 4:46:56 AM,blocks_dup,0
2018/11/29 4:48:59 AM,blocks_recv,0
2018/11/29 4:48:59 AM,blocks_sent,26
2018/11/29 4:48:59 AM,blocks_dup,0
2018/11/29 4:51:01 AM,blocks_recv,0
2018/11/29 4:51:01 AM,blocks_sent,26
2018/11/29 4:51:01 AM,blocks_dup,0
2018/11/29 4:53:04 AM,blocks_recv,0
2018/11/29 4:53:04 AM,blocks_sent,26
2018/11/29 4:53:04 AM,blocks_dup,0
2018/11/29 4:55:06 AM,blocks_recv,0
2018/11/29 4:55:06 AM,blocks_sent,26
2018/11/29 4:55:06 AM,blocks_dup,0
2018/11/29 4:57:09 AM,blocks_recv,0
2018/11/29 4:57:09 AM,blocks_sent,26
